,X1,Y1,X2,Y2
0,41,40,958,40
1,45,43,954,43
2,666,145,930,145
3,669,148,925,148
4,669,187,927,187
5,667,191,928,191
6,162,228,925,228
7,163,232,924,232
8,163,277,924,277
9,159,279,159,229
10,160,280,927,280
11,232,305,495,305
12,583,306,928,306
13,236,308,491,308
14,588,309,923,309
15,234,347,493,347
16,586,348,925,348
17,233,351,494,351
18,584,352,927,352
19,81,484,136,484
20,663,1054,933,1054
21,357,1055,662,1055
22,65,1056,356,1056
23,610,1058,914,1058
24,305,1059,609,1059
25,63,1060,304,1060
26,786,1112,933,1112
27,481,1113,785,1113
28,175,1114,480,1114
29,63,1115,174,1115
30,733,1116,933,1116
31,429,1117,732,1117
32,123,1118,428,1118
33,729,1171,933,1171
34,422,1172,728,1172
35,117,1173,421,1173
36,674,1175,933,1175
37,368,1176,673,1176
38,63,1177,367,1177
39,846,1226,933,1226
40,539,1227,845,1227
41,233,1228,538,1228
42,63,1229,232,1229
43,790,1230,933,1230
44,489,1231,789,1231
45,180,1232,488,1232
46,63,1233,179,1233
47,725,1294,920,1294
48,727,1298,918,1298
49,729,1355,916,1355
50,921,1357,921,1295
51,724,1358,921,1358
52,43,1367,43,45
53,956,1367,956,45
54,44,1369,954,1369
55,40,1372,40,40
56,41,1372,958,1372
57,959,1372,959,40
