X1,Y1,X2,Y2,Type,Value,Group
474,1298,531,1308,Label,Cw,0
282,1170,718,1189,Label,CustomerFeedbackForm,0
127,1104,877,1110,Label,ThankyouforvisitingRentonAutoShop.Wewouldlovetohearaboutyourexperience—,0
126,1073,723,1093,Label,simplyfilloutthisformandhitcomplete.Thankyouforyourfeedback!,0
133,981,264,991,Label,DateofService:,0
428,971,479,1011,Label,019,0
132,910,285,920,Label,Thisfeedbackisa:,0
475,897,518,932,Label,[x],0
747,901,778,932,Label,LJ,0
327,864,408,882,Label,Suggestion,0
461,874,542,884,Label,Compliment,0
598,874,667,884,Label,Complaint,0
743,874,782,882,Label,Other,0
132,805,790,830,Label,Whichofourservicesdoesyourfeedbackapplyto?|————OilChnge,0
132,743,185,752,Label,Other,0
132,681,481,695,Label,Wereyouhelpedbyaspecificemployee?,0
648,662,779,705,Label,ackWitmore,0
133,615,533,629,Label,Howwouldyouratethequalityofourservices?,0
610,605,620,640,Label,oO,0
691,601,702,636,Label,oO,0
765,605,893,589,Label,OoGoodExcellent,0
133,534,492,547,Label,Howwouldyourateoucustomerservice?,0
765,524,859,571,Label,gfw,0
762,499,893,508,Label,GoodExcellent,0
132,453,442,467,Label,Wouldyourecommendourservices?,0
603,444,630,475,Label,Oo,0
685,444,713,475,Label,uo,0
765,444,796,475,Label,oF,0
848,444,893,428,Label,kiExcellent,0
132,365,315,375,Label,Additionalcomments:,0
652,137,728,149,Label,Complete,0
66,-40,939,10,Field,nan,0
51,62,949,112,Field,nan,0
51,140,947,190,Field,nan,0
125,335,882,385,Field,nan,0
281,373,565,423,Field,nan,0
281,402,566,452,Field,nan,0
599,550,880,600,Field,nan,0
598,581,882,631,Field,nan,0
204,612,880,662,Field,nan,0
280,643,883,693,Field,nan,0
280,645,883,695,Field,nan,0
530,675,881,725,Field,nan,0
530,704,881,754,Field,nan,0
131,1030,894,1080,Field,nan,0
133,1166,892,1216,Field,nan,0
67,1220,338,1270,Field,nan,0
51,1255,948,1305,Field,nan,0
51,1263,948,1313,Field,nan,0
63,1360,936,1410,Field,nan,0
66,-40,939,10,Field,nan,0
51,62,949,112,Field,nan,0
51,140,947,190,Field,nan,0
125,335,882,385,Field,nan,0
281,373,565,423,Field,nan,0
281,402,566,452,Field,nan,0
599,550,880,600,Field,nan,0
598,581,882,631,Field,nan,0
204,612,880,662,Field,nan,0
280,645,883,695,Field,nan,0
530,675,881,725,Field,nan,0
530,704,881,754,Field,nan,0
131,1030,894,1080,Field,nan,0
133,1166,892,1216,Field,nan,0
67,1220,338,1270,Field,nan,0
467,1222,523,1272,Field,nan,0
62,1253,337,1303,Field,nan,0
51,1263,948,1313,Field,nan,0
63,1360,936,1410,Field,nan,0
