X1,Y1,H,W,Type,Value,Group
475,1258,11,144,label,FeedbackForm,0
180,994,15,247,label,WhatdidyouIlkevrymuch?,0
178,941,20,173,label,[]environment,0
425,938,20,197,label,[_]Administration,0
670,941,23,252,label,~[_]Attitudofemployees,0
211,893,16,148,label,Jinfrastructure,0
454,893,22,225,label,JTalenandinnovation,0
177,824,2,291,label,Ratesuppotivenessofemployees.,0
163,754,14,391,label,"RatetheimpactofprojacscompanyIsdoing,",0
172,702,18,325,label,Rattheoverallexperencofthevisit.,0
162,625,20,296,label,Ratequalitofprovidedresources,0
172,579,13,575,label,HowmuchIikelydoyourecommendthecompanyforthelrsevices?,0
178,469,13,242,label,Anyconstructivesuggestions,0
777,218,10,78,label,SignHere,0
245,227,40,679,field,nan,0
308,294,38,236,field,nan,0
619,294,39,306,field,nan,0
669,403,30,51,field,nan,0
181,406,24,41,field,nan,0
428,408,24,42,field,nan,0
181,454,24,41,field,nan,0
428,454,24,42,field,nan,0
159,925,30,766,field,nan,0
159,974,30,695,field,nan,0
203,1023,30,532,field,nan,0
159,1078,30,452,field,nan,0
644,1078,30,161,field,nan,0
742,1172,55,175,field,nan,0
900,830,23,23,radio,nan,0
832,830,23,23,radio,nan,0
764,830,23,23,radio,nan,0
695,830,23,23,radio,nan,0
620,830,23,23,radio,nan,0
900,718,23,23,radio,nan,0
833,718,23,23,radio,nan,0
764,718,23,23,radio,nan,0
696,718,23,23,radio,nan,0
620,718,23,23,radio,nan,0
900,652,23,23,radio,nan,0
832,652,23,23,radio,nan,0
764,652,23,23,radio,nan,0
696,652,23,23,radio,nan,0
620,652,23,23,radio,nan,0
900,588,23,23,radio,nan,0
832,588,23,23,radio,nan,0
764,588,23,23,radio,nan,0
695,587,23,23,radio,nan,0
620,587,23,23,radio,nan,0
904,530,23,23,radio,nan,0
836,530,23,23,radio,nan,0
769,530,23,23,radio,nan,0
700,530,23,23,radio,nan,0
625,530,23,23,radio,nan,0
669,403,30,51,checkbox,nan,0
181,406,24,41,checkbox,nan,0
428,408,24,42,checkbox,nan,0
181,454,24,41,checkbox,nan,0
428,454,24,42,checkbox,nan,0
