X1,Y1,X2,Y2,Type,Value,Group
424,1197,575,1209,Label,FeedbackForm,0
118,924,376,939,Label,Whatdidyoulikeverymuch?,0
118,863,297,889,Label,Cc)Environment,0
372,861,393,902,Label,CL,0
449,876,578,887,Label,Administration,0
668,868,891,889,Label,|Attitudeofemployees,0
163,814,305,836,Label,|Infrastructure,0
392,818,637,838,Label,ayTalentandInnovation,0
102,760,415,779,Label,Ratesupportivenessofemployees.,0
555,768,796,791,Label,0o0oOoO000,0
555,717,785,731,Label,12345,0
110,661,794,684,Label,Ratetheimpactofprojectscompanyisdoing.0O0O0000,0
110,551,448,564,Label,Ratetheoverallexperienceofthevisit.,0
552,551,793,573,Label,O0oO0oOO0o000,0
113,446,710,460,Label,Howmuchlikelydoyourecommendthecompanyfortheirservices?,0
560,388,630,411,Label,Oo0,0
697,376,795,415,Label,00,0
555,337,785,351,Label,12345,0
103,275,355,289,Label,Anyconstructivesuggestions,0
756,105,885,89,Label,SignHere|,0
651,83,893,133,Field,nan,0
656,122,888,172,Field,nan,0
189,159,890,209,Field,nan,0
191,203,887,253,Field,nan,0
255,229,494,279,Field,nan,0
577,230,891,280,Field,nan,0
257,268,493,318,Field,nan,0
579,269,888,319,Field,nan,0
117,393,167,443,Field,nan,0
390,962,896,1012,Field,nan,0
302,1017,894,1067,Field,nan,0
98,1021,301,1071,Field,nan,0
130,1074,900,1124,Field,nan,0
130,1077,557,1127,Field,nan,0
711,1155,873,1205,Field,nan,0
302,1017,894,1067,Field,nan,0
704,1213,884,1263,Field,nan,0
651,83,893,133,Field,nan,0
656,122,888,172,Field,nan,0
189,159,890,209,Field,nan,0
191,203,887,253,Field,nan,0
255,229,494,279,Field,nan,0
577,230,891,280,Field,nan,0
257,268,493,318,Field,nan,0
579,269,888,319,Field,nan,0
117,393,167,443,Field,nan,0
390,962,896,1012,Field,nan,0
98,1017,894,1067,Field,nan,0
103,1074,900,1124,Field,nan,0
711,1155,873,1205,Field,nan,0
704,1213,884,1263,Field,nan,0
